graph_id,edge_retention,node_retention,n_nodes,n_edges,time_s
graph_tier0_0.pt,0.4,0.75,4,5,0.0035309580016473774
graph_tier0_1.pt,0.4,0.75,4,5,0.0004237079992890358
graph_tier0_2.pt,0.4,0.75,4,5,0.00039658300011069514
graph_tier0_3.pt,0.4,0.75,4,5,0.0003758749990083743
graph_tier0_4.pt,0.4,0.75,4,5,0.00037150000207475387
graph_tier1_0.pt,0.4,0.75,4,5,0.0003637079971667845
graph_tier1_1.pt,0.4,0.75,4,5,0.00035887500052922405
graph_tier1_2.pt,0.4,0.75,4,5,0.00036587499926099554
graph_tier1_3.pt,0.4,0.75,4,5,0.00035887500052922405
graph_tier1_4.pt,0.4,0.75,4,5,0.00035483300234773196
