graph_id,edge_retention,node_retention,n_nodes,n_edges,time_s
graph_tier0_0.pt,1.0,1.0,4,5,0.005563833001360763
graph_tier0_1.pt,1.0,1.0,4,5,1.3999997463542968e-05
graph_tier0_2.pt,1.0,1.0,4,5,1.0540999937802553e-05
graph_tier0_3.pt,1.0,1.0,4,5,1.0042000212706625e-05
graph_tier0_4.pt,1.0,1.0,4,5,1.0124997061211616e-05
graph_tier1_0.pt,1.0,1.0,4,5,9.87499879556708e-06
graph_tier1_1.pt,1.0,1.0,4,5,9.583996870787814e-06
graph_tier1_2.pt,1.0,1.0,4,5,9.50000321608968e-06
graph_tier1_3.pt,1.0,1.0,4,5,9.457999112783e-06
graph_tier1_4.pt,1.0,1.0,4,5,9.374998626299202e-06
