graph_id,edge_retention,node_retention,n_nodes,n_edges,time_s
graph_tier0_0.pt,0.6,1.0,4,5,0.0030849590002617333
graph_tier0_1.pt,0.6,1.0,4,5,9.354099893243983e-05
graph_tier0_2.pt,0.6,1.0,4,5,8.337499821209349e-05
graph_tier0_3.pt,0.6,1.0,4,5,7.408300007227808e-05
graph_tier0_4.pt,0.6,1.0,4,5,7.308299973374233e-05
graph_tier1_0.pt,0.6,1.0,4,5,7.220900079119019e-05
graph_tier1_1.pt,0.6,1.0,4,5,6.991699774516746e-05
graph_tier1_2.pt,0.6,1.0,4,5,7.183400157373399e-05
graph_tier1_3.pt,0.6,1.0,4,5,6.962499901419505e-05
graph_tier1_4.pt,0.6,1.0,4,5,6.804199801990762e-05
